OrderID,Region,Segment,ShipMode,Category,SubCategory,Sales,Quantity,Discount,Profit,OrderYear,State
ORD-10068,Central,Corporate,First Class,Office Supplies,Art,1175.64,5,0.0,19.96,2019,California
ORD-10069,Central,Consumer,First Class,Furniture,Chairs,1631.31,3,0.0,527.3,2019,Texas
ORD-10070,West,Consumer,Second Class,Office Supplies,Art,1755.79,5,0.2,149.36,2025,California
ORD-10071,East,Consumer,Standard Class,Technology,Phones,1504.17,9,0.1,410.82,2020,California
ORD-10072,East,Home Office,Standard Class,Technology,Copiers,561.35,7,0.1,118.6,2024,New York
ORD-10073,East,Consumer,Second Class,Furniture,Bookcases,1542.6,5,0.1,435.54,2019,Washington
ORD-10074,South,Corporate,Same Day,Furniture,Bookcases,563.97,4,0.1,166.48,2025,Texas
ORD-10075,East,Corporate,Same Day,Office Supplies,Paper,962.9,3,0.2,37.07,2023,Washington
ORD-10076,West,Corporate,First Class,Office Supplies,Storage,818.9,7,0.2,207.26,2021,Washington
ORD-10077,Central,Home Office,Second Class,Office Supplies,Paper,1224.01,2,0.1,183.19,2022,California
ORD-10078,East,Consumer,Same Day,Office Supplies,Binders,1571.63,7,0.1,452.73,2020,California
ORD-10079,East,Corporate,Standard Class,Office Supplies,Binders,531.32,8,0.0,181.19,2024,New York
ORD-10080,Central,Home Office,Second Class,Technology,Machines,696.3,9,0.2,-29.51,2022,Florida
ORD-10081,Central,Consumer,Standard Class,Furniture,Bookcases,1751.15,2,0.0,-23.59,2020,Florida
ORD-10082,South,Corporate,Second Class,Office Supplies,Binders,82.97,6,0.0,11.66,2020,California
ORD-10083,East,Corporate,First Class,Office Supplies,Paper,1386.98,9,0.1,360.25,2024,New York
ORD-10084,Central,Consumer,Same Day,Technology,Machines,140.93,4,0.0,-8.73,2025,Washington
ORD-10085,West,Home Office,Same Day,Office Supplies,Paper,1524.71,8,0.1,360.38,2021,New York
ORD-10086,Central,Home Office,Same Day,Technology,Copiers,1033.12,2,0.1,61.33,2019,Illinois
ORD-10087,South,Consumer,Standard Class,Office Supplies,Storage,657.72,7,0.1,31.16,2023,Florida
ORD-10088,South,Home Office,Second Class,Furniture,Furnishings,723.11,9,0.0,83.74,2020,California
ORD-10089,West,Home Office,Same Day,Technology,Accessories,581.88,6,0.3,110.94,2021,Illinois
ORD-10090,West,Home Office,Same Day,Office Supplies,Binders,1868.71,5,0.1,2.62,2022,Washington
ORD-10091,Central,Home Office,First Class,Technology,Accessories,584.49,8,0.2,163.1,2023,Florida
ORD-10092,East,Corporate,Same Day,Technology,Accessories,807.75,4,0.2,216.22,2024,New York
ORD-10093,South,Consumer,Second Class,Office Supplies,Binders,1442.55,8,0.1,37.49,2020,Washington
ORD-10094,West,Corporate,Same Day,Technology,Machines,1025.07,1,0.3,-49.53,2024,Illinois
ORD-10095,South,Corporate,Standard Class,Office Supplies,Storage,1865.39,3,0.0,123.4,2025,Texas
ORD-10096,East,Consumer,Standard Class,Office Supplies,Binders,1375.45,4,0.0,-51.62,2021,Washington
ORD-10097,South,Corporate,Second Class,Technology,Copiers,710.76,1,0.0,194.59,2023,New York
ORD-10098,West,Consumer,Same Day,Furniture,Tables,378.84,3,0.0,88.46,2021,California
ORD-10099,Central,Home Office,Second Class,Furniture,Tables,1603.08,3,0.0,-25.84,2020,Washington
ORD-10100,South,Corporate,Same Day,Furniture,Chairs,1184.85,2,0.3,122.49,2021,Illinois
ORD-10101,Central,Home Office,Second Class,Office Supplies,Binders,1500.27,1,0.0,89.89,2024,Illinois
ORD-10102,South,Corporate,Same Day,Technology,Copiers,251.46,6,0.2,45.88,2022,Illinois
ORD-10103,East,Consumer,Standard Class,Furniture,Furnishings,1488.09,4,0.0,-47.24,2021,California
ORD-10104,West,Corporate,Standard Class,Office Supplies,Art,1148.38,5,0.2,275.14,2025,Florida
ORD-10105,South,Consumer,Second Class,Furniture,Furnishings,1215.84,8,0.0,144.52,2021,New York
ORD-10106,West,Corporate,Second Class,Technology,Machines,1094.59,5,0.3,-20.01,2025,Texas
ORD-10107,East,Home Office,Same Day,Office Supplies,Storage,323.64,8,0.1,-17.68,2022,New York
ORD-10108,East,Corporate,First Class,Furniture,Furnishings,65.58,1,0.3,4.49,2023,Washington
ORD-10109,West,Corporate,Same Day,Furniture,Tables,1823.16,1,0.1,11.23,2024,California
ORD-10110,Central,Consumer,Standard Class,Furniture,Bookcases,636.66,3,0.3,110.49,2019,Texas
ORD-10111,West,Home Office,Second Class,Furniture,Chairs,1215.37,3,0.2,105.16,2020,Texas
ORD-10112,Central,Corporate,Standard Class,Technology,Accessories,1838.54,3,0.1,-37.92,2019,California
ORD-10113,East,Consumer,Standard Class,Furniture,Bookcases,569.62,2,0.0,75.09,2022,Washington
ORD-10114,South,Consumer,Second Class,Office Supplies,Art,1079.44,8,0.0,37.58,2025,New York
ORD-10115,South,Home Office,Second Class,Technology,Machines,1798.15,1,0.0,125.83,2019,Washington
ORD-10116,West,Corporate,First Class,Technology,Copiers,1064.74,6,0.3,124.03,2025,Florida
ORD-10117,West,Home Office,Second Class,Furniture,Furnishings,1726.34,7,0.2,117.37,2020,Florida
ORD-10118,East,Consumer,First Class,Furniture,Bookcases,1958.28,2,0.2,384.83,2021,New York
ORD-10119,Central,Consumer,Same Day,Technology,Phones,1198.2,9,0.2,187.22,2025,Texas
ORD-10120,South,Consumer,Second Class,Technology,Machines,1977.68,8,0.1,541.09,2023,Washington
ORD-10121,Central,Consumer,First Class,Technology,Copiers,1794.74,7,0.1,-110.41,2023,New York
ORD-10122,Central,Corporate,First Class,Furniture,Furnishings,1413.81,1,0.2,256.1,2020,New York
ORD-10123,West,Consumer,Second Class,Technology,Copiers,550.77,5,0.0,46.39,2023,Florida
ORD-10124,South,Home Office,Second Class,Technology,Machines,1949.6,8,0.0,566.96,2025,California
ORD-10125,East,Home Office,Standard Class,Office Supplies,Storage,1034.67,9,0.3,221.92,2024,Washington
ORD-10126,West,Corporate,Same Day,Technology,Accessories,1969.12,2,0.2,408.46,2023,Texas
ORD-10127,South,Home Office,Standard Class,Furniture,Tables,153.01,5,0.0,18.95,2020,Washington
ORD-10128,South,Consumer,Standard Class,Furniture,Bookcases,1802.04,6,0.2,304.25,2023,Texas
ORD-10129,East,Home Office,Standard Class,Furniture,Chairs,849.17,2,0.3,281.4,2022,New York
ORD-10130,East,Home Office,First Class,Office Supplies,Binders,790.81,8,0.2,47.49,2021,Washington
ORD-10131,East,Corporate,Same Day,Office Supplies,Storage,1334.07,6,0.1,306.38,2025,Florida
ORD-10132,Central,Corporate,Standard Class,Technology,Copiers,1686.23,1,0.1,556.21,2020,Texas
ORD-10133,Central,Corporate,Standard Class,Furniture,Chairs,168.77,1,0.0,20.75,2025,New York
ORD-10134,South,Home Office,Standard Class,Technology,Accessories,1602.84,3,0.1,-156.49,2022,New York
ORD-10135,South,Corporate,Same Day,Technology,Phones,290.9,9,0.2,39.15,2021,Illinois
ORD-10136,East,Home Office,First Class,Furniture,Bookcases,1453.72,6,0.3,17.95,2020,California
ORD-10137,East,Corporate,Second Class,Furniture,Tables,98.07,7,0.0,-1.84,2025,Washington
ORD-10138,Central,Home Office,Standard Class,Technology,Phones,1467.43,3,0.3,-70.62,2020,Washington
ORD-10139,South,Home Office,Same Day,Technology,Copiers,651.82,7,0.0,125.52,2022,Illinois
ORD-10140,South,Home Office,First Class,Office Supplies,Storage,1398.65,8,0.1,316.3,2019,Florida
ORD-10141,West,Corporate,Second Class,Furniture,Tables,651.13,2,0.0,194.49,2025,New York
ORD-10142,South,Home Office,First Class,Office Supplies,Paper,62.11,7,0.0,8.57,2025,Washington
ORD-10143,South,Home Office,Standard Class,Furniture,Tables,195.32,5,0.3,35.62,2020,Washington
ORD-10144,Central,Consumer,Second Class,Furniture,Bookcases,854.29,5,0.0,6.36,2024,Texas
ORD-10145,East,Home Office,Standard Class,Office Supplies,Paper,1186.43,1,0.0,408.7,2019,Florida
ORD-10146,Central,Home Office,Second Class,Technology,Accessories,1600.02,5,0.2,263.76,2021,Washington
ORD-10147,South,Consumer,First Class,Furniture,Tables,350.73,4,0.3,1.49,2024,Illinois
ORD-10148,East,Corporate,First Class,Technology,Phones,258.27,2,0.0,-0.2,2024,Illinois
ORD-10149,West,Consumer,Standard Class,Furniture,Tables,1938.82,1,0.0,615.55,2021,Texas
ORD-10150,Central,Corporate,Standard Class,Technology,Accessories,992.55,1,0.3,301.58,2023,California
ORD-10151,Central,Home Office,Same Day,Furniture,Furnishings,1168.57,2,0.2,344.56,2023,California
ORD-10152,East,Home Office,First Class,Technology,Phones,1707.34,9,0.2,332.69,2020,Florida
ORD-10153,West,Consumer,Same Day,Technology,Accessories,534.31,5,0.3,65.8,2023,Florida
ORD-10154,East,Home Office,Second Class,Furniture,Chairs,1705.39,8,0.0,198.28,2021,Texas
ORD-10155,South,Consumer,First Class,Technology,Phones,548.72,6,0.3,142.03,2021,California
ORD-10156,Central,Corporate,Same Day,Furniture,Bookcases,492.61,5,0.1,-25.8,2025,Illinois
ORD-10157,West,Home Office,Standard Class,Technology,Phones,1746.25,3,0.2,474.31,2024,Texas
ORD-10158,West,Home Office,Standard Class,Office Supplies,Paper,1518.14,7,0.1,44.28,2019,California
ORD-10159,West,Home Office,Second Class,Technology,Accessories,1275.33,8,0.0,320.02,2025,Texas
ORD-10160,South,Corporate,Same Day,Furniture,Furnishings,1683.44,5,0.0,429.22,2021,California
ORD-10161,Central,Corporate,Second Class,Office Supplies,Binders,1172.7,1,0.1,210.4,2024,Illinois
ORD-10162,West,Home Office,First Class,Technology,Copiers,1196.9,7,0.0,-107.77,2021,New York
ORD-10163,Central,Consumer,Standard Class,Office Supplies,Storage,902.89,2,0.0,293.38,2025,Illinois
ORD-10164,West,Home Office,First Class,Furniture,Bookcases,457.12,2,0.2,94.27,2021,California
ORD-10165,Central,Corporate,First Class,Office Supplies,Art,81.98,5,0.2,7.29,2019,Illinois
ORD-10166,Central,Consumer,Standard Class,Technology,Copiers,830.48,6,0.2,195.68,2022,Texas
ORD-10167,East,Consumer,Standard Class,Technology,Machines,956.96,8,0.3,-15.8,2025,New York
ORD-10168,East,Corporate,First Class,Office Supplies,Paper,1526.83,3,0.0,-62.51,2022,Washington
ORD-10169,South,Consumer,Second Class,Technology,Phones,22.44,7,0.0,3.89,2019,Florida
ORD-10170,Central,Consumer,Standard Class,Technology,Accessories,1172.3,5,0.1,303.51,2023,Texas
ORD-10171,East,Consumer,Same Day,Office Supplies,Art,803.18,6,0.3,157.14,2024,California
ORD-10172,West,Home Office,Same Day,Technology,Accessories,1503.34,9,0.0,-80.79,2024,Washington
ORD-10173,East,Consumer,Standard Class,Furniture,Tables,1556.09,2,0.3,-104.9,2023,Washington
ORD-10174,Central,Corporate,Second Class,Furniture,Chairs,175.59,6,0.2,-7.07,2020,Texas
ORD-10175,Central,Home Office,Second Class,Technology,Accessories,101.54,1,0.3,18.93,2019,Washington
ORD-10176,South,Corporate,Same Day,Furniture,Bookcases,1233.63,9,0.1,395.8,2024,Florida
ORD-10177,South,Corporate,Second Class,Office Supplies,Storage,1633.35,7,0.2,494.36,2024,Texas
ORD-10178,South,Consumer,Standard Class,Technology,Copiers,100.69,2,0.1,16.81,2023,New York
ORD-10179,Central,Consumer,First Class,Office Supplies,Storage,1952.21,4,0.0,-35.23,2021,Florida
ORD-10180,East,Home Office,First Class,Office Supplies,Paper,1444.02,6,0.0,503.02,2022,Texas
ORD-10181,Central,Consumer,Second Class,Technology,Copiers,456.71,6,0.2,-3.83,2023,Texas
ORD-10182,South,Corporate,Standard Class,Furniture,Furnishings,862.48,4,0.3,57.76,2021,California
ORD-10183,South,Corporate,First Class,Office Supplies,Binders,803.12,4,0.1,135.71,2020,New York
ORD-10184,East,Home Office,Standard Class,Technology,Accessories,1826.48,3,0.0,200.21,2021,Texas
ORD-10185,West,Consumer,Standard Class,Office Supplies,Storage,1272.43,2,0.2,109.26,2024,Washington
ORD-10186,Central,Corporate,Standard Class,Furniture,Bookcases,1193.98,7,0.0,236.62,2021,California
ORD-10187,South,Consumer,First Class,Furniture,Furnishings,531.1,5,0.0,24.61,2025,New York
ORD-10188,South,Home Office,Same Day,Office Supplies,Storage,895.21,9,0.0,91.53,2019,California
ORD-10189,East,Consumer,Standard Class,Office Supplies,Art,771.13,5,0.2,153.23,2022,Florida
ORD-10190,East,Home Office,Standard Class,Technology,Copiers,1125.12,4,0.1,387.05,2022,Texas
ORD-10191,East,Consumer,Standard Class,Furniture,Chairs,261.78,6,0.0,83.83,2021,Washington
ORD-10192,West,Consumer,Second Class,Office Supplies,Art,1973.53,8,0.2,-192.97,2023,California
ORD-10193,South,Home Office,Same Day,Technology,Copiers,523.36,2,0.2,104.72,2024,Illinois
ORD-10194,Central,Consumer,Same Day,Office Supplies,Paper,1471.14,8,0.1,-22.42,2024,Illinois
ORD-10195,Central,Corporate,Second Class,Technology,Accessories,525.51,1,0.2,178.88,2020,Texas
ORD-10196,South,Consumer,Second Class,Furniture,Tables,1740.43,8,0.0,-150.24,2022,California
ORD-10197,West,Corporate,Same Day,Furniture,Bookcases,1882.93,5,0.3,363.51,2020,Texas
ORD-10198,East,Consumer,Standard Class,Office Supplies,Storage,1954.8,9,0.0,570.49,2025,California
ORD-10199,Central,Corporate,Second Class,Technology,Machines,1308.01,6,0.1,414.06,2020,Illinois
ORD-10200,Central,Consumer,Standard Class,Furniture,Bookcases,882.45,1,0.3,29.64,2025,California
ORD-10201,East,Consumer,Same Day,Office Supplies,Storage,1135.61,3,0.3,166.74,2019,New York
ORD-10202,West,Corporate,Standard Class,Office Supplies,Paper,1182.38,8,0.1,223.66,2021,Illinois
ORD-10203,West,Consumer,Same Day,Office Supplies,Art,1047.78,6,0.3,-92.69,2023,Texas
ORD-10204,South,Home Office,First Class,Furniture,Bookcases,1076.53,7,0.1,254.16,2023,Illinois
ORD-10205,South,Home Office,First Class,Technology,Copiers,34.97,5,0.3,11.53,2025,Florida
ORD-10206,South,Consumer,Same Day,Furniture,Chairs,716.21,2,0.1,84.97,2024,New York
ORD-10207,West,Corporate,Second Class,Furniture,Bookcases,1073.88,8,0.3,-64.08,2019,Illinois
ORD-10208,Central,Consumer,First Class,Office Supplies,Binders,1054.51,7,0.2,302.37,2025,California
ORD-10209,Central,Corporate,Standard Class,Office Supplies,Binders,527.99,4,0.3,62.09,2022,Illinois
ORD-10210,West,Consumer,Second Class,Office Supplies,Storage,1903.78,7,0.1,511.42,2019,Texas
ORD-10211,West,Home Office,Standard Class,Office Supplies,Binders,1682.93,8,0.3,99.36,2022,Texas
ORD-10212,West,Consumer,First Class,Technology,Machines,859.0,9,0.1,210.45,2020,Illinois
ORD-10213,East,Corporate,Same Day,Technology,Phones,1479.01,2,0.0,-3.65,2023,New York
ORD-10214,East,Corporate,Standard Class,Technology,Machines,1283.16,9,0.1,236.62,2020,New York
ORD-10215,East,Home Office,First Class,Technology,Phones,1358.17,6,0.0,302.76,2022,Washington
ORD-10216,South,Consumer,Standard Class,Technology,Machines,1454.19,7,0.0,-93.45,2022,New York
ORD-10217,East,Consumer,Same Day,Furniture,Furnishings,746.57,6,0.0,132.68,2020,Florida
ORD-10218,West,Home Office,Second Class,Furniture,Furnishings,482.75,5,0.3,142.91,2022,Illinois
ORD-10219,West,Consumer,First Class,Office Supplies,Storage,396.84,2,0.2,27.9,2020,Washington
ORD-10220,Central,Consumer,First Class,Office Supplies,Art,195.76,5,0.0,36.36,2020,Washington
ORD-10221,South,Home Office,Same Day,Office Supplies,Binders,1647.18,1,0.3,328.14,2024,Illinois
ORD-10222,South,Consumer,Standard Class,Technology,Machines,1948.85,6,0.0,451.61,2024,Illinois
ORD-10223,South,Corporate,Same Day,Office Supplies,Paper,196.47,7,0.3,-8.36,2020,Illinois
ORD-10224,East,Corporate,First Class,Office Supplies,Art,620.19,2,0.0,38.49,2019,California
ORD-10225,Central,Corporate,First Class,Furniture,Bookcases,1654.07,7,0.1,281.63,2024,New York
ORD-10226,East,Corporate,Second Class,Technology,Accessories,1141.82,4,0.1,143.32,2020,Illinois
ORD-10227,South,Corporate,Standard Class,Technology,Accessories,1758.39,6,0.2,449.29,2025,Illinois
ORD-10228,West,Corporate,Standard Class,Technology,Accessories,324.51,3,0.1,107.35,2020,California
ORD-10229,West,Consumer,Same Day,Furniture,Tables,641.18,1,0.1,195.06,2021,New York
ORD-10230,West,Consumer,First Class,Furniture,Tables,309.82,5,0.1,-21.48,2022,Illinois
ORD-10231,West,Consumer,First Class,Furniture,Bookcases,1022.16,2,0.0,-53.61,2024,Texas
ORD-10232,East,Corporate,Second Class,Technology,Copiers,785.19,5,0.2,-10.76,2021,Texas
ORD-10233,Central,Consumer,Standard Class,Furniture,Bookcases,1396.17,9,0.2,10.65,2022,Washington
ORD-10234,South,Consumer,Standard Class,Office Supplies,Storage,371.98,1,0.3,68.79,2025,Florida
ORD-10235,East,Home Office,Second Class,Furniture,Furnishings,1318.33,6,0.2,297.87,2023,New York
ORD-10236,East,Corporate,First Class,Technology,Copiers,839.98,7,0.0,62.31,2020,Washington
ORD-10237,South,Home Office,Standard Class,Technology,Phones,58.0,5,0.1,11.97,2019,Illinois
ORD-10238,East,Consumer,First Class,Furniture,Tables,497.58,5,0.0,129.71,2019,Florida
ORD-10239,South,Corporate,Same Day,Technology,Copiers,1008.68,7,0.0,120.75,2022,Texas
ORD-10240,East,Consumer,Standard Class,Technology,Phones,1235.88,6,0.1,313.0,2019,California
ORD-10241,South,Consumer,Same Day,Furniture,Chairs,1621.59,1,0.1,516.71,2021,Texas
ORD-10242,East,Home Office,Standard Class,Technology,Accessories,1280.61,1,0.3,131.62,2022,California
ORD-10243,East,Consumer,First Class,Technology,Phones,114.71,8,0.0,27.05,2021,California
ORD-10244,Central,Home Office,First Class,Furniture,Furnishings,1480.27,4,0.2,498.61,2022,New York
ORD-10245,West,Corporate,First Class,Technology,Accessories,214.82,6,0.3,-14.84,2022,California
ORD-10246,West,Home Office,Standard Class,Technology,Machines,1543.06,9,0.0,110.9,2022,Washington
ORD-10247,West,Consumer,Same Day,Office Supplies,Binders,1294.93,7,0.1,392.51,2022,New York
ORD-10248,East,Corporate,First Class,Office Supplies,Paper,982.31,2,0.2,-78.9,2019,California
ORD-10249,West,Consumer,Same Day,Technology,Accessories,890.02,9,0.1,288.71,2021,Washington
ORD-10250,East,Home Office,Second Class,Furniture,Furnishings,1984.98,7,0.2,557.64,2023,Illinois
ORD-10251,South,Home Office,Same Day,Office Supplies,Binders,1957.23,8,0.1,488.14,2024,Washington
ORD-10252,Central,Home Office,Second Class,Technology,Phones,1876.03,2,0.1,-76.4,2025,New York
ORD-10253,East,Home Office,First Class,Technology,Machines,697.92,6,0.2,168.33,2024,New York
ORD-10254,South,Corporate,Second Class,Technology,Phones,205.64,9,0.3,19.58,2019,Florida
ORD-10255,West,Corporate,First Class,Furniture,Bookcases,1983.78,8,0.2,160.04,2019,Texas
ORD-10256,East,Corporate,Second Class,Furniture,Furnishings,1633.93,2,0.0,112.52,2020,Texas
ORD-10257,South,Home Office,Same Day,Office Supplies,Art,1496.55,9,0.1,361.27,2021,Washington
ORD-10258,West,Home Office,Second Class,Technology,Phones,266.93,4,0.3,67.05,2023,Washington
ORD-10259,South,Consumer,Standard Class,Furniture,Tables,1397.32,5,0.1,249.86,2022,California
ORD-10260,West,Home Office,Same Day,Technology,Copiers,972.33,3,0.3,-51.67,2022,Washington
ORD-10261,Central,Corporate,Same Day,Office Supplies,Paper,1613.88,3,0.0,300.86,2023,Florida
ORD-10262,East,Corporate,First Class,Office Supplies,Paper,1421.21,4,0.3,190.63,2019,California
ORD-10263,East,Consumer,Second Class,Office Supplies,Storage,456.81,9,0.3,15.87,2022,Florida
ORD-10264,East,Consumer,Same Day,Technology,Copiers,1378.1,7,0.0,451.52,2023,Texas
ORD-10265,East,Corporate,Standard Class,Office Supplies,Storage,71.87,1,0.1,19.71,2021,Illinois
ORD-10266,East,Consumer,Same Day,Technology,Phones,131.15,3,0.1,0.2,2023,Florida
ORD-10267,South,Corporate,First Class,Furniture,Chairs,927.21,5,0.3,-37.03,2025,Texas
ORD-10268,West,Consumer,First Class,Technology,Phones,1564.82,4,0.1,-116.15,2022,California
ORD-10269,Central,Corporate,Same Day,Furniture,Tables,579.84,6,0.3,13.96,2020,Washington
ORD-10270,South,Home Office,Same Day,Technology,Accessories,1692.68,6,0.3,-50.15,2020,Texas
ORD-10271,West,Home Office,First Class,Technology,Phones,704.92,2,0.0,174.35,2020,New York
ORD-10272,East,Corporate,Standard Class,Technology,Machines,1874.91,8,0.3,339.34,2020,Illinois
ORD-10273,East,Consumer,Same Day,Technology,Copiers,412.23,8,0.0,44.84,2022,California
ORD-10274,East,Home Office,Second Class,Furniture,Chairs,63.63,5,0.3,5.61,2025,California
ORD-10275,East,Home Office,Second Class,Furniture,Furnishings,247.24,2,0.3,55.69,2019,California
